feature,shap_mean_abs,perm_importance
pell_pct,3596.6954660127176,0.3380401587565097
sal_instr_avg_9mo,1817.6339286013467,0.1561006687784688
sector,1175.8513450711098,0.04271370266800759
sal_noninstr_avg,1053.4264937922042,0.06318579341639126
instr_exp_per_fte,914.2670614583209,0.03066831598687242
value_added_proxy,894.4336752783585,0.0441518986067342
selectivity_composite,875.1905738943557,0.0398363818638834
total_completions,806.1497127593187,0.03469700898215102
outcome_lag,492.75241353510074,0.010486194586206588
stud_serv_exp_per_fte,460.60374877388733,0.015709036985625025
total_fte,436.5366478686402,0.013697598689516444
total_sal_per_fte,419.38144165894823,0.011241934074798333
total_enrollment_ipeds,380.75270833127325,0.010388994953491137
faculty_fte,345.96742299681335,0.014154072978420463
stud_fac_ratio,308.12271147034176,0.007716573441144925
resource_concentration_idx,235.27875717222787,0.005825423060401435
financial_health_idx,230.13493025681655,0.00048717217676010895
total_exp,197.23048408296765,0.0019873138042065253
student_support_intensity,76.93085281450739,0.0010724021929204076
