feature,shap_mean_abs,perm_importance
pell_pct,3163.7781777851774,0.24071536827148746
sal_instr_avg_9mo,1530.7155987254619,0.11276021244578711
instr_exp_per_fte,1104.9905961956083,0.035443449568929385
sector,1088.4502781493327,0.034218135706344764
sal_noninstr_avg,940.5071861664867,0.04638022755927527
value_added_proxy,568.3521241917613,0.02359318598879053
outcome_lag,495.18447789873926,0.012105317373412838
selectivity_composite,430.8271956537675,0.016038883034306207
total_sal_per_fte,412.5288605891239,0.01055652946398553
total_completions,275.6762467540999,0.009816581876360952
student_support_intensity,214.8035920529217,0.005385578183037709
stud_serv_exp_per_fte,210.0261262221107,0.004030397872351188
stud_fac_ratio,160.59837950163862,0.006009596901565562
total_fte,122.90023967263348,0.004821195602675044
financial_health_idx,120.26993619466766,0.0001579462486894445
faculty_fte,106.93662712938034,0.007135900692324526
total_exp,88.48874463235175,0.0016861897227371304
total_enrollment_ipeds,77.25419192642372,0.003613006772328553
resource_concentration_idx,67.85255668124618,0.004387622035163163
